# Pin Out For LIFCL-17,,,,,,,,,,
"# Revision 0.9, Aug 04, 2020: Intial Release",,,,,,,,,,
"# Revision 0.91, Aug 12, 2020: Corrected VCCAUXH3/4/5",,,,,,,,,,
"# Revision 0.92, Oct 26, 2020:  Removed referrences to PMU",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PADN,FNC,BANK,DQS,CFG,LVDS,HIGHSPEED,CSFBGA121,WLCSP72,QFN72,CABGA256
0,NC,-,-,-,-,-,-,-,-,N11
0,NC,-,-,-,-,-,-,-,-,N12
0,NC,-,-,-,-,-,-,-,-,N13
0,NC,-,-,-,-,-,-,-,-,N15
0,NC,-,-,-,-,-,-,-,-,N16
0,NC,-,-,-,-,-,-,-,-,N8
0,NC,-,-,-,-,-,-,-,-,N9
0,NC,-,-,-,-,-,-,-,-,P14
0,NC,-,-,-,-,-,-,-,-,P8
0,NC,-,-,-,-,-,-,-,-,R13
0,NC,-,-,-,-,-,-,-,-,R14
0,NC,-,-,-,-,-,-,-,-,R6
0,NC,-,-,-,-,-,-,-,-,R7
0,NC,-,-,-,-,-,-,-,-,R8
0,NC,-,-,-,-,-,-,-,-,T14
0,NC,-,-,-,-,-,-,-,-,T15
0,NC,-,-,-,-,-,-,-,-,T5
0,NC,-,-,-,-,-,-,-,-,T6
0,NC,-,-,-,-,-,-,-,-,T7
0,NC,-,-,-,-,-,-,-,-,T8
0,NC,-,-,-,-,-,-,-,-,G12
